Model,Layer1,Layer2,Delta_acc1,Delta_acc2,Accuracy,Delta_acc
1,stage1.unit1.quant_act,stage1.unit1.quant_convbn1,14.946,2.546,64.2,13.278
2,stage1.unit1.quant_act,stage1.unit1.quant_act1,14.946,0.512,62.244,15.234
3,stage1.unit1.quant_act,stage1.unit1.quant_convbn2,14.946,0.66,63.052,14.426
4,stage1.unit1.quant_act,stage1.unit1.quant_act2,14.946,0.514,62.236,15.242
5,stage1.unit1.quant_act,stage1.unit1.quant_convbn3,14.946,0.992,61.558,15.92
6,stage1.unit1.quant_act,stage1.unit2.quant_act,14.946,0.306,61.578,15.9
7,stage1.unit1.quant_act,stage1.unit2.quant_convbn1,14.946,0.276,62.098,15.38
8,stage1.unit1.quant_act,stage1.unit2.quant_act1,14.946,0.538,61.33,16.148
9,stage1.unit1.quant_act,stage1.unit2.quant_convbn2,14.946,0.194,62.77,14.708
10,stage1.unit1.quant_act,stage1.unit2.quant_act2,14.946,0.124,62.06,15.418
11,stage1.unit1.quant_act,stage1.unit2.quant_convbn3,14.946,0.226,62.702,14.776
12,stage1.unit1.quant_act,stage1.unit3.quant_act,14.946,0.19,61.474,16.004
13,stage1.unit1.quant_act,stage1.unit3.quant_convbn1,14.946,0.298,62.746,14.732
14,stage1.unit1.quant_act,stage1.unit3.quant_act1,14.946,0.078,62.474,15.004
15,stage1.unit1.quant_act,stage1.unit3.quant_convbn2,14.946,0.15,62.424,15.054
16,stage1.unit1.quant_act,stage1.unit3.quant_act2,14.946,0.146,62.33,15.148
17,stage1.unit1.quant_act,stage1.unit3.quant_convbn3,14.946,0.168,62.404,15.074
18,stage1.unit1.quant_act,stage2.unit1.quant_act,14.946,0.616,60.962,16.516
19,stage1.unit1.quant_act,stage2.unit1.quant_convbn1,14.946,0.196,62.658,14.82
20,stage1.unit1.quant_act,stage2.unit1.quant_act1,14.946,0.082,62.394,15.084
21,stage1.unit1.quant_act,stage2.unit1.quant_convbn2,14.946,0.154,62.87,14.608
22,stage1.unit1.quant_act,stage2.unit1.quant_act2,14.946,0.104,62.506,14.972
23,stage1.unit1.quant_act,stage2.unit1.quant_convbn3,14.946,0.344,61.674,15.804
24,stage1.unit1.quant_act,stage2.unit2.quant_act,14.946,0.086,62.68,14.798
25,stage1.unit1.quant_act,stage2.unit2.quant_convbn1,14.946,0.094,62.446,15.032
26,stage1.unit1.quant_act,stage2.unit2.quant_act1,14.946,0.126,62.342,15.136
27,stage1.unit1.quant_act,stage2.unit2.quant_convbn2,14.946,0.21,62.194,15.284
28,stage1.unit1.quant_act,stage2.unit2.quant_act2,14.946,0.04,62.456,15.022
29,stage1.unit1.quant_act,stage2.unit2.quant_convbn3,14.946,0.018,62.738,14.74
30,stage1.unit1.quant_act,stage2.unit3.quant_act,14.946,0.11,62.574,14.904
31,stage1.unit1.quant_act,stage2.unit3.quant_convbn1,14.946,0.152,62.468,15.01
32,stage1.unit1.quant_act,stage2.unit3.quant_act1,14.946,0.116,62.682,14.796
33,stage1.unit1.quant_act,stage2.unit3.quant_convbn2,14.946,0.102,62.67,14.808
34,stage1.unit1.quant_act,stage2.unit3.quant_act2,14.946,0.132,62.134,15.344
35,stage1.unit1.quant_act,stage2.unit3.quant_convbn3,14.946,0.07,62.844,14.634
36,stage1.unit1.quant_act,stage2.unit4.quant_act,14.946,0.734,59.528,17.95
37,stage1.unit1.quant_act,stage2.unit4.quant_convbn1,14.946,0.314,62.264,15.214
38,stage1.unit1.quant_act,stage2.unit4.quant_act1,14.946,0.406,62.238,15.24
39,stage1.unit1.quant_act,stage2.unit4.quant_convbn2,14.946,0.158,62.226,15.252
40,stage1.unit1.quant_act,stage2.unit4.quant_act2,14.946,0.324,61.746,15.732
41,stage1.unit1.quant_act,stage2.unit4.quant_convbn3,14.946,0.162,62.474,15.004
42,stage1.unit1.quant_act,stage3.unit1.quant_act,14.946,2.506,58.606,18.872
43,stage1.unit1.quant_act,stage3.unit1.quant_convbn1,14.946,0.044,62.268,15.21
44,stage1.unit1.quant_act,stage3.unit1.quant_act1,14.946,1.498,59.84,17.638
45,stage1.unit1.quant_act,stage3.unit1.quant_convbn2,14.946,0.146,62.49,14.988
46,stage1.unit1.quant_act,stage3.unit1.quant_act2,14.946,6.106,49.47,28.008
47,stage1.unit1.quant_act,stage3.unit1.quant_convbn3,14.946,0.168,62.084,15.394
48,stage1.unit1.quant_act,stage3.unit2.quant_act,14.946,0.324,62.598,14.88
49,stage1.unit1.quant_act,stage3.unit2.quant_convbn1,14.946,0.038,62.544,14.934
50,stage1.unit1.quant_act,stage3.unit2.quant_act1,14.946,1.442,59.498,17.98
51,stage1.unit1.quant_act,stage3.unit2.quant_convbn2,14.946,0.162,62.586,14.892
52,stage1.unit1.quant_act,stage3.unit2.quant_act2,14.946,0.53,60.74,16.738
53,stage1.unit1.quant_act,stage3.unit2.quant_convbn3,14.946,0.106,62.486,14.992
54,stage1.unit1.quant_act,stage3.unit3.quant_act,14.946,0.246,61.698,15.78
55,stage1.unit1.quant_act,stage3.unit3.quant_convbn1,14.946,0.25,62.574,14.904
56,stage1.unit1.quant_act,stage3.unit3.quant_act1,14.946,1.5,58.95,18.528
57,stage1.unit1.quant_act,stage3.unit3.quant_convbn2,14.946,0.174,62.754,14.724
58,stage1.unit1.quant_act,stage3.unit3.quant_act2,14.946,6.144,50.05,27.428
59,stage1.unit1.quant_act,stage3.unit3.quant_convbn3,14.946,0.176,62.41,15.068
60,stage1.unit1.quant_act,stage3.unit4.quant_act,14.946,0.43,61.472,16.006
61,stage1.unit1.quant_act,stage3.unit4.quant_convbn1,14.946,-0.036,62.488,14.99
62,stage1.unit1.quant_act,stage3.unit4.quant_act1,14.946,0.708,61.944,15.534
63,stage1.unit1.quant_act,stage3.unit4.quant_convbn2,14.946,0.156,62.34,15.138
64,stage1.unit1.quant_act,stage3.unit4.quant_act2,14.946,1.102,60.102,17.376
65,stage1.unit1.quant_act,stage3.unit4.quant_convbn3,14.946,0.194,62.462,15.016
66,stage1.unit1.quant_act,stage3.unit5.quant_act,14.946,0.308,61.556,15.922
67,stage1.unit1.quant_act,stage3.unit5.quant_convbn1,14.946,0.17,62.29,15.188
68,stage1.unit1.quant_act,stage3.unit5.quant_act1,14.946,1.986,58.768,18.71
69,stage1.unit1.quant_act,stage3.unit5.quant_convbn2,14.946,0.14,62.584,14.894
70,stage1.unit1.quant_act,stage3.unit5.quant_act2,14.946,3.05,56.018,21.46
71,stage1.unit1.quant_act,stage3.unit5.quant_convbn3,14.946,0.096,62.496,14.982
72,stage1.unit1.quant_act,stage3.unit6.quant_act,14.946,0.422,62.196,15.282
73,stage1.unit1.quant_act,stage3.unit6.quant_convbn1,14.946,0.18,62.584,14.894
74,stage1.unit1.quant_act,stage3.unit6.quant_act1,14.946,1.024,61.896,15.582
75,stage1.unit1.quant_act,stage3.unit6.quant_convbn2,14.946,0.116,62.21,15.268
76,stage1.unit1.quant_act,stage3.unit6.quant_act2,14.946,4.312,55.592,21.886
77,stage1.unit1.quant_act,stage3.unit6.quant_convbn3,14.946,0.116,62.46,15.018
78,stage1.unit1.quant_act,stage4.unit1.quant_act,14.946,12.264,45.068,32.41
79,stage1.unit1.quant_act,stage4.unit1.quant_convbn1,14.946,0.15,62.396,15.082
80,stage1.unit1.quant_act,stage4.unit1.quant_act1,14.946,0.256,62.234,15.244
81,stage1.unit1.quant_act,stage4.unit1.quant_convbn2,14.946,0.066,62.64,14.838
82,stage1.unit1.quant_act,stage4.unit1.quant_act2,14.946,0.15,62.21,15.268
83,stage1.unit1.quant_act,stage4.unit1.quant_convbn3,14.946,0.048,62.432,15.046
84,stage1.unit1.quant_act,stage4.unit2.quant_act,14.946,1.294,59.902,17.576
85,stage1.unit1.quant_act,stage4.unit2.quant_convbn1,14.946,0.216,62.146,15.332
86,stage1.unit1.quant_act,stage4.unit2.quant_act1,14.946,0.122,62.498,14.98
87,stage1.unit1.quant_act,stage4.unit2.quant_convbn2,14.946,0.024,62.548,14.93
88,stage1.unit1.quant_act,stage4.unit2.quant_act2,14.946,0.052,62.388,15.09
89,stage1.unit1.quant_act,stage4.unit2.quant_convbn3,14.946,0.148,62.372,15.106
90,stage1.unit1.quant_act,stage4.unit3.quant_act,14.946,1.1,60.498,16.98
91,stage1.unit1.quant_act,stage4.unit3.quant_convbn1,14.946,0.308,61.95,15.528
92,stage1.unit1.quant_act,stage4.unit3.quant_act1,14.946,0.222,62.434,15.044
93,stage1.unit1.quant_act,stage4.unit3.quant_convbn2,14.946,0.252,62.062,15.416
94,stage1.unit1.quant_act,stage4.unit3.quant_act2,14.946,0.512,61.324,16.154
95,stage1.unit1.quant_act,stage4.unit3.quant_convbn3,14.946,0.146,62.21,15.268
96,stage1.unit1.quant_convbn1,stage1.unit1.quant_act1,2.546,0.512,74.728,2.75
97,stage1.unit1.quant_convbn1,stage1.unit1.quant_convbn2,2.546,0.66,73.234,4.244
98,stage1.unit1.quant_convbn1,stage1.unit1.quant_act2,2.546,0.514,75.186,2.292
99,stage1.unit1.quant_convbn1,stage1.unit1.quant_convbn3,2.546,0.992,72.06,5.418
100,stage1.unit1.quant_convbn1,stage1.unit2.quant_act,2.546,0.306,75.094,2.384
101,stage1.unit1.quant_convbn1,stage1.unit2.quant_convbn1,2.546,0.276,75.104,2.374
102,stage1.unit1.quant_convbn1,stage1.unit2.quant_act1,2.546,0.538,75.024,2.454
103,stage1.unit1.quant_convbn1,stage1.unit2.quant_convbn2,2.546,0.194,75.104,2.374
104,stage1.unit1.quant_convbn1,stage1.unit2.quant_act2,2.546,0.124,75.156,2.322
105,stage1.unit1.quant_convbn1,stage1.unit2.quant_convbn3,2.546,0.226,75.118,2.36
106,stage1.unit1.quant_convbn1,stage1.unit3.quant_act,2.546,0.19,74.922,2.556
107,stage1.unit1.quant_convbn1,stage1.unit3.quant_convbn1,2.546,0.298,75.064,2.414
108,stage1.unit1.quant_convbn1,stage1.unit3.quant_act1,2.546,0.078,74.898,2.58
109,stage1.unit1.quant_convbn1,stage1.unit3.quant_convbn2,2.546,0.15,74.824,2.654
110,stage1.unit1.quant_convbn1,stage1.unit3.quant_act2,2.546,0.146,74.826,2.652
111,stage1.unit1.quant_convbn1,stage1.unit3.quant_convbn3,2.546,0.168,75.026,2.452
112,stage1.unit1.quant_convbn1,stage2.unit1.quant_act,2.546,0.616,72.678,4.8
113,stage1.unit1.quant_convbn1,stage2.unit1.quant_convbn1,2.546,0.196,74.906,2.572
114,stage1.unit1.quant_convbn1,stage2.unit1.quant_act1,2.546,0.082,74.936,2.542
115,stage1.unit1.quant_convbn1,stage2.unit1.quant_convbn2,2.546,0.154,74.626,2.852
116,stage1.unit1.quant_convbn1,stage2.unit1.quant_act2,2.546,0.104,74.87,2.608
117,stage1.unit1.quant_convbn1,stage2.unit1.quant_convbn3,2.546,0.344,74.754,2.724
118,stage1.unit1.quant_convbn1,stage2.unit2.quant_act,2.546,0.086,74.952,2.526
119,stage1.unit1.quant_convbn1,stage2.unit2.quant_convbn1,2.546,0.094,74.848,2.63
120,stage1.unit1.quant_convbn1,stage2.unit2.quant_act1,2.546,0.126,74.95,2.528
121,stage1.unit1.quant_convbn1,stage2.unit2.quant_convbn2,2.546,0.21,74.88,2.598
122,stage1.unit1.quant_convbn1,stage2.unit2.quant_act2,2.546,0.04,75.014,2.464
123,stage1.unit1.quant_convbn1,stage2.unit2.quant_convbn3,2.546,0.018,74.972,2.506
124,stage1.unit1.quant_convbn1,stage2.unit3.quant_act,2.546,0.11,75.032,2.446
125,stage1.unit1.quant_convbn1,stage2.unit3.quant_convbn1,2.546,0.152,74.928,2.55
126,stage1.unit1.quant_convbn1,stage2.unit3.quant_act1,2.546,0.116,74.92,2.558
127,stage1.unit1.quant_convbn1,stage2.unit3.quant_convbn2,2.546,0.102,74.916,2.562
128,stage1.unit1.quant_convbn1,stage2.unit3.quant_act2,2.546,0.132,74.99,2.488
129,stage1.unit1.quant_convbn1,stage2.unit3.quant_convbn3,2.546,0.07,74.78,2.698
130,stage1.unit1.quant_convbn1,stage2.unit4.quant_act,2.546,0.734,74.438,3.04
131,stage1.unit1.quant_convbn1,stage2.unit4.quant_convbn1,2.546,0.314,74.66,2.818
132,stage1.unit1.quant_convbn1,stage2.unit4.quant_act1,2.546,0.406,74.706,2.772
133,stage1.unit1.quant_convbn1,stage2.unit4.quant_convbn2,2.546,0.158,74.888,2.59
134,stage1.unit1.quant_convbn1,stage2.unit4.quant_act2,2.546,0.324,74.706,2.772
135,stage1.unit1.quant_convbn1,stage2.unit4.quant_convbn3,2.546,0.162,74.898,2.58
136,stage1.unit1.quant_convbn1,stage3.unit1.quant_act,2.546,2.506,70.858,6.62
137,stage1.unit1.quant_convbn1,stage3.unit1.quant_convbn1,2.546,0.044,74.796,2.682
138,stage1.unit1.quant_convbn1,stage3.unit1.quant_act1,2.546,1.498,73.236,4.242
139,stage1.unit1.quant_convbn1,stage3.unit1.quant_convbn2,2.546,0.146,74.696,2.782
140,stage1.unit1.quant_convbn1,stage3.unit1.quant_act2,2.546,6.106,66.046,11.432
141,stage1.unit1.quant_convbn1,stage3.unit1.quant_convbn3,2.546,0.168,74.77,2.708
142,stage1.unit1.quant_convbn1,stage3.unit2.quant_act,2.546,0.324,74.754,2.724
143,stage1.unit1.quant_convbn1,stage3.unit2.quant_convbn1,2.546,0.038,74.968,2.51
144,stage1.unit1.quant_convbn1,stage3.unit2.quant_act1,2.546,1.442,72.24,5.238
145,stage1.unit1.quant_convbn1,stage3.unit2.quant_convbn2,2.546,0.162,74.96,2.518
146,stage1.unit1.quant_convbn1,stage3.unit2.quant_act2,2.546,0.53,74.238,3.24
147,stage1.unit1.quant_convbn1,stage3.unit2.quant_convbn3,2.546,0.106,74.86,2.618
148,stage1.unit1.quant_convbn1,stage3.unit3.quant_act,2.546,0.246,74.614,2.864
149,stage1.unit1.quant_convbn1,stage3.unit3.quant_convbn1,2.546,0.25,74.908,2.57
150,stage1.unit1.quant_convbn1,stage3.unit3.quant_act1,2.546,1.5,73.27,4.208
151,stage1.unit1.quant_convbn1,stage3.unit3.quant_convbn2,2.546,0.174,74.806,2.672
152,stage1.unit1.quant_convbn1,stage3.unit3.quant_act2,2.546,6.144,67.346,10.132
153,stage1.unit1.quant_convbn1,stage3.unit3.quant_convbn3,2.546,0.176,74.994,2.484
154,stage1.unit1.quant_convbn1,stage3.unit4.quant_act,2.546,0.43,74.51,2.968
155,stage1.unit1.quant_convbn1,stage3.unit4.quant_convbn1,2.546,-0.036,74.868,2.61
156,stage1.unit1.quant_convbn1,stage3.unit4.quant_act1,2.546,0.708,74.406,3.072
157,stage1.unit1.quant_convbn1,stage3.unit4.quant_convbn2,2.546,0.156,74.856,2.622
158,stage1.unit1.quant_convbn1,stage3.unit4.quant_act2,2.546,1.102,73.786,3.692
159,stage1.unit1.quant_convbn1,stage3.unit4.quant_convbn3,2.546,0.194,74.89,2.588
160,stage1.unit1.quant_convbn1,stage3.unit5.quant_act,2.546,0.308,74.578,2.9
161,stage1.unit1.quant_convbn1,stage3.unit5.quant_convbn1,2.546,0.17,74.83,2.648
162,stage1.unit1.quant_convbn1,stage3.unit5.quant_act1,2.546,1.986,72.754,4.724
163,stage1.unit1.quant_convbn1,stage3.unit5.quant_convbn2,2.546,0.14,74.792,2.686
164,stage1.unit1.quant_convbn1,stage3.unit5.quant_act2,2.546,3.05,71.908,5.57
165,stage1.unit1.quant_convbn1,stage3.unit5.quant_convbn3,2.546,0.096,74.826,2.652
166,stage1.unit1.quant_convbn1,stage3.unit6.quant_act,2.546,0.422,74.542,2.936
167,stage1.unit1.quant_convbn1,stage3.unit6.quant_convbn1,2.546,0.18,74.926,2.552
168,stage1.unit1.quant_convbn1,stage3.unit6.quant_act1,2.546,1.024,74.04,3.438
169,stage1.unit1.quant_convbn1,stage3.unit6.quant_convbn2,2.546,0.116,74.9,2.578
170,stage1.unit1.quant_convbn1,stage3.unit6.quant_act2,2.546,4.312,69.204,8.274
171,stage1.unit1.quant_convbn1,stage3.unit6.quant_convbn3,2.546,0.116,74.786,2.692
172,stage1.unit1.quant_convbn1,stage4.unit1.quant_act,2.546,12.264,60.576,16.902
173,stage1.unit1.quant_convbn1,stage4.unit1.quant_convbn1,2.546,0.15,74.802,2.676
174,stage1.unit1.quant_convbn1,stage4.unit1.quant_act1,2.546,0.256,74.606,2.872
175,stage1.unit1.quant_convbn1,stage4.unit1.quant_convbn2,2.546,0.066,74.916,2.562
176,stage1.unit1.quant_convbn1,stage4.unit1.quant_act2,2.546,0.15,74.874,2.604
177,stage1.unit1.quant_convbn1,stage4.unit1.quant_convbn3,2.546,0.048,74.776,2.702
178,stage1.unit1.quant_convbn1,stage4.unit2.quant_act,2.546,1.294,73.724,3.754
179,stage1.unit1.quant_convbn1,stage4.unit2.quant_convbn1,2.546,0.216,74.706,2.772
180,stage1.unit1.quant_convbn1,stage4.unit2.quant_act1,2.546,0.122,74.874,2.604
181,stage1.unit1.quant_convbn1,stage4.unit2.quant_convbn2,2.546,0.024,74.878,2.6
182,stage1.unit1.quant_convbn1,stage4.unit2.quant_act2,2.546,0.052,74.81,2.668
183,stage1.unit1.quant_convbn1,stage4.unit2.quant_convbn3,2.546,0.148,74.936,2.542
184,stage1.unit1.quant_convbn1,stage4.unit3.quant_act,2.546,1.1,73.774,3.704
185,stage1.unit1.quant_convbn1,stage4.unit3.quant_convbn1,2.546,0.308,74.62,2.858
186,stage1.unit1.quant_convbn1,stage4.unit3.quant_act1,2.546,0.222,74.882,2.596
187,stage1.unit1.quant_convbn1,stage4.unit3.quant_convbn2,2.546,0.252,74.678,2.8
188,stage1.unit1.quant_convbn1,stage4.unit3.quant_act2,2.546,0.512,74.25,3.228
189,stage1.unit1.quant_convbn1,stage4.unit3.quant_convbn3,2.546,0.146,74.836,2.642
556,stage1.unit2.quant_act,stage1.unit2.quant_convbn1,0.306,0.276,76.898,0.58
557,stage1.unit2.quant_act,stage1.unit2.quant_act1,0.306,0.538,76.5,0.978
558,stage1.unit2.quant_act,stage1.unit2.quant_convbn2,0.306,0.194,77.006,0.472
559,stage1.unit2.quant_act,stage1.unit2.quant_act2,0.306,0.124,76.982,0.496
560,stage1.unit2.quant_act,stage1.unit2.quant_convbn3,0.306,0.226,76.94,0.538
561,stage1.unit2.quant_act,stage1.unit3.quant_act,0.306,0.19,77.118,0.36
562,stage1.unit2.quant_act,stage1.unit3.quant_convbn1,0.306,0.298,77.114,0.364
563,stage1.unit2.quant_act,stage1.unit3.quant_act1,0.306,0.078,77.12,0.358
564,stage1.unit2.quant_act,stage1.unit3.quant_convbn2,0.306,0.15,77.124,0.354
565,stage1.unit2.quant_act,stage1.unit3.quant_act2,0.306,0.146,77.076,0.402
566,stage1.unit2.quant_act,stage1.unit3.quant_convbn3,0.306,0.168,77.176,0.302
567,stage1.unit2.quant_act,stage2.unit1.quant_act,0.306,0.616,76.674,0.804
568,stage1.unit2.quant_act,stage2.unit1.quant_convbn1,0.306,0.196,77.104,0.374
569,stage1.unit2.quant_act,stage2.unit1.quant_act1,0.306,0.082,77.094,0.384
570,stage1.unit2.quant_act,stage2.unit1.quant_convbn2,0.306,0.154,76.946,0.532
571,stage1.unit2.quant_act,stage2.unit1.quant_act2,0.306,0.104,77.17,0.308
572,stage1.unit2.quant_act,stage2.unit1.quant_convbn3,0.306,0.344,76.894,0.584
573,stage1.unit2.quant_act,stage2.unit2.quant_act,0.306,0.086,77.094,0.384
574,stage1.unit2.quant_act,stage2.unit2.quant_convbn1,0.306,0.094,77.078,0.4
575,stage1.unit2.quant_act,stage2.unit2.quant_act1,0.306,0.126,77.054,0.424
576,stage1.unit2.quant_act,stage2.unit2.quant_convbn2,0.306,0.21,77.05,0.428
577,stage1.unit2.quant_act,stage2.unit2.quant_act2,0.306,0.04,77.104,0.374
578,stage1.unit2.quant_act,stage2.unit2.quant_convbn3,0.306,0.018,77.132,0.346
579,stage1.unit2.quant_act,stage2.unit3.quant_act,0.306,0.11,77.122,0.356
580,stage1.unit2.quant_act,stage2.unit3.quant_convbn1,0.306,0.152,77.116,0.362
581,stage1.unit2.quant_act,stage2.unit3.quant_act1,0.306,0.116,77.136,0.342
582,stage1.unit2.quant_act,stage2.unit3.quant_convbn2,0.306,0.102,77.13,0.348
583,stage1.unit2.quant_act,stage2.unit3.quant_act2,0.306,0.132,77.13,0.348
584,stage1.unit2.quant_act,stage2.unit3.quant_convbn3,0.306,0.07,77.03,0.448
585,stage1.unit2.quant_act,stage2.unit4.quant_act,0.306,0.734,76.388,1.09
586,stage1.unit2.quant_act,stage2.unit4.quant_convbn1,0.306,0.314,76.916,0.562
587,stage1.unit2.quant_act,stage2.unit4.quant_act1,0.306,0.406,76.962,0.516
588,stage1.unit2.quant_act,stage2.unit4.quant_convbn2,0.306,0.158,77.04,0.438
589,stage1.unit2.quant_act,stage2.unit4.quant_act2,0.306,0.324,76.886,0.592
590,stage1.unit2.quant_act,stage2.unit4.quant_convbn3,0.306,0.162,77.068,0.41
591,stage1.unit2.quant_act,stage3.unit1.quant_act,0.306,2.506,74.64,2.838
592,stage1.unit2.quant_act,stage3.unit1.quant_convbn1,0.306,0.044,77.01,0.468
593,stage1.unit2.quant_act,stage3.unit1.quant_act1,0.306,1.498,75.586,1.892
594,stage1.unit2.quant_act,stage3.unit1.quant_convbn2,0.306,0.146,77.08,0.398
595,stage1.unit2.quant_act,stage3.unit1.quant_act2,0.306,6.106,70.772,6.706
596,stage1.unit2.quant_act,stage3.unit1.quant_convbn3,0.306,0.168,76.98,0.498
597,stage1.unit2.quant_act,stage3.unit2.quant_act,0.306,0.324,76.816,0.662
598,stage1.unit2.quant_act,stage3.unit2.quant_convbn1,0.306,0.038,77.132,0.346
599,stage1.unit2.quant_act,stage3.unit2.quant_act1,0.306,1.442,75.64,1.838
600,stage1.unit2.quant_act,stage3.unit2.quant_convbn2,0.306,0.162,77.188,0.29
601,stage1.unit2.quant_act,stage3.unit2.quant_act2,0.306,0.53,76.66,0.818
602,stage1.unit2.quant_act,stage3.unit2.quant_convbn3,0.306,0.106,77.208,0.27
603,stage1.unit2.quant_act,stage3.unit3.quant_act,0.306,0.246,76.916,0.562
604,stage1.unit2.quant_act,stage3.unit3.quant_convbn1,0.306,0.25,77.114,0.364
605,stage1.unit2.quant_act,stage3.unit3.quant_act1,0.306,1.5,75.698,1.78
606,stage1.unit2.quant_act,stage3.unit3.quant_convbn2,0.306,0.174,76.948,0.53
607,stage1.unit2.quant_act,stage3.unit3.quant_act2,0.306,6.144,70.704,6.774
608,stage1.unit2.quant_act,stage3.unit3.quant_convbn3,0.306,0.176,77.09,0.388
609,stage1.unit2.quant_act,stage3.unit4.quant_act,0.306,0.43,76.858,0.62
610,stage1.unit2.quant_act,stage3.unit4.quant_convbn1,0.306,-0.036,77.178,0.3
611,stage1.unit2.quant_act,stage3.unit4.quant_act1,0.306,0.708,76.64,0.838
612,stage1.unit2.quant_act,stage3.unit4.quant_convbn2,0.306,0.156,77.064,0.414
613,stage1.unit2.quant_act,stage3.unit4.quant_act2,0.306,1.102,76.264,1.214
614,stage1.unit2.quant_act,stage3.unit4.quant_convbn3,0.306,0.194,77.23,0.248
615,stage1.unit2.quant_act,stage3.unit5.quant_act,0.306,0.308,76.88,0.598
616,stage1.unit2.quant_act,stage3.unit5.quant_convbn1,0.306,0.17,77.106,0.372
617,stage1.unit2.quant_act,stage3.unit5.quant_act1,0.306,1.986,75.036,2.442
618,stage1.unit2.quant_act,stage3.unit5.quant_convbn2,0.306,0.14,77.186,0.292
619,stage1.unit2.quant_act,stage3.unit5.quant_act2,0.306,3.05,74.206,3.272
620,stage1.unit2.quant_act,stage3.unit5.quant_convbn3,0.306,0.096,77.098,0.38
621,stage1.unit2.quant_act,stage3.unit6.quant_act,0.306,0.422,76.53,0.948
622,stage1.unit2.quant_act,stage3.unit6.quant_convbn1,0.306,0.18,77.112,0.366
623,stage1.unit2.quant_act,stage3.unit6.quant_act1,0.306,1.024,76.186,1.292
624,stage1.unit2.quant_act,stage3.unit6.quant_convbn2,0.306,0.116,77.042,0.436
625,stage1.unit2.quant_act,stage3.unit6.quant_act2,0.306,4.312,72.768,4.71
626,stage1.unit2.quant_act,stage3.unit6.quant_convbn3,0.306,0.116,77.178,0.3
627,stage1.unit2.quant_act,stage4.unit1.quant_act,0.306,12.264,64.66,12.818
628,stage1.unit2.quant_act,stage4.unit1.quant_convbn1,0.306,0.15,77.232,0.246
629,stage1.unit2.quant_act,stage4.unit1.quant_act1,0.306,0.256,77.04,0.438
630,stage1.unit2.quant_act,stage4.unit1.quant_convbn2,0.306,0.066,77.21,0.268
631,stage1.unit2.quant_act,stage4.unit1.quant_act2,0.306,0.15,77.156,0.322
632,stage1.unit2.quant_act,stage4.unit1.quant_convbn3,0.306,0.048,77.026,0.452
633,stage1.unit2.quant_act,stage4.unit2.quant_act,0.306,1.294,75.928,1.55
634,stage1.unit2.quant_act,stage4.unit2.quant_convbn1,0.306,0.216,77.08,0.398
635,stage1.unit2.quant_act,stage4.unit2.quant_act1,0.306,0.122,76.958,0.52
636,stage1.unit2.quant_act,stage4.unit2.quant_convbn2,0.306,0.024,77.15,0.328
637,stage1.unit2.quant_act,stage4.unit2.quant_act2,0.306,0.052,77.132,0.346
638,stage1.unit2.quant_act,stage4.unit2.quant_convbn3,0.306,0.148,77.136,0.342
639,stage1.unit2.quant_act,stage4.unit3.quant_act,0.306,1.1,76.076,1.402
640,stage1.unit2.quant_act,stage4.unit3.quant_convbn1,0.306,0.308,76.91,0.568
641,stage1.unit2.quant_act,stage4.unit3.quant_act1,0.306,0.222,77.032,0.446
642,stage1.unit2.quant_act,stage4.unit3.quant_convbn2,0.306,0.252,77.024,0.454
643,stage1.unit2.quant_act,stage4.unit3.quant_act2,0.306,0.512,76.676,0.802
644,stage1.unit2.quant_act,stage4.unit3.quant_convbn3,0.306,0.146,77.092,0.386
645,stage1.unit2.quant_convbn1,stage1.unit2.quant_act1,0.276,0.538,76.846,0.632
646,stage1.unit2.quant_convbn1,stage1.unit2.quant_convbn2,0.276,0.194,77.212,0.266
647,stage1.unit2.quant_convbn1,stage1.unit2.quant_act2,0.276,0.124,77.228,0.25
648,stage1.unit2.quant_convbn1,stage1.unit2.quant_convbn3,0.276,0.226,77.076,0.402
649,stage1.unit2.quant_convbn1,stage1.unit3.quant_act,0.276,0.19,77.074,0.404
650,stage1.unit2.quant_convbn1,stage1.unit3.quant_convbn1,0.276,0.298,77.086,0.392
651,stage1.unit2.quant_convbn1,stage1.unit3.quant_act1,0.276,0.078,77.254,0.224
652,stage1.unit2.quant_convbn1,stage1.unit3.quant_convbn2,0.276,0.15,77.248,0.23
653,stage1.unit2.quant_convbn1,stage1.unit3.quant_act2,0.276,0.146,77.252,0.226
654,stage1.unit2.quant_convbn1,stage1.unit3.quant_convbn3,0.276,0.168,77.27,0.208
655,stage1.unit2.quant_convbn1,stage2.unit1.quant_act,0.276,0.616,76.822,0.656
656,stage1.unit2.quant_convbn1,stage2.unit1.quant_convbn1,0.276,0.196,77.086,0.392
657,stage1.unit2.quant_convbn1,stage2.unit1.quant_act1,0.276,0.082,77.308,0.17
658,stage1.unit2.quant_convbn1,stage2.unit1.quant_convbn2,0.276,0.154,77.124,0.354
659,stage1.unit2.quant_convbn1,stage2.unit1.quant_act2,0.276,0.104,77.224,0.254
660,stage1.unit2.quant_convbn1,stage2.unit1.quant_convbn3,0.276,0.344,77.074,0.404
661,stage1.unit2.quant_convbn1,stage2.unit2.quant_act,0.276,0.086,77.308,0.17
662,stage1.unit2.quant_convbn1,stage2.unit2.quant_convbn1,0.276,0.094,77.19,0.288
663,stage1.unit2.quant_convbn1,stage2.unit2.quant_act1,0.276,0.126,77.13,0.348
